condition,disease_type,disease_type2,name_formatted,ICD10
intentional_self_harm,Partially-attributable acute,alcohol,Intentional self-harm,"X60-X84 (excl. X65), Y87.0"
Assault,Partially-attributable acute,alcohol,Assault,"X85-Y09, Y87.1"
Other_intentional_injuries,Partially-attributable acute,alcohol,Other intentional injuries,Y35
Accidental_poisoning,Partially-attributable acute,alcohol,Accidental poisoning by exposure to noxious substances,"X40-X49 (excl. X45), Y10-Y14, Y16-Y19, T36-T50, T52-T65"
Chronic_obstructive_pulmonary_disease,Respiratory,tobacco,Chronic obstructive pulmonary disease,"J40-J44,J47"
Asthma,Respiratory,tobacco,Asthma,J45-J46
Tuberculosis,Respiratory,alcohol and tobacco,Tuberculosis,A15-A19
Obstructive_sleep_apnoea,Respiratory,tobacco,Obstructive sleep apnoea,G47.3
Pneumonia,Respiratory,alcohol and tobacco,Pneumonia,J12-J18
Influenza_clinically_diagnosed,Respiratory,alcohol and tobacco,Influenza (clinically diagnosed),J11
Influenza_microbiologically_confirmed,Respiratory,alcohol and tobacco,Influenza (microbiologically confirmed),"J09, J10"
Idiopathic_pulmonary_fibrosis,Respiratory,tobacco,Idiopathic pulmonary fibrosis,J84.1
Alcoholic_cardiomyopathy,Wholly attributable to alcohol,alcohol,Alcoholic cardiomyopathy,I42.6
Alcoholic_liver_disease,Wholly attributable to alcohol,alcohol,Alcoholic liver disease,"K70.0-K70.4, K70.9"
Acute_pancreatitis_alcohol_induced,Wholly attributable to alcohol,alcohol,Acute pancreatitis (alcohol induced),K85.2
Chronic_pancreatitis_alcohol_induced,Wholly attributable to alcohol,alcohol,Chronic pancreatitis (alcohol induced),K86.0
Alcoholic_gastritis,Wholly attributable to alcohol,alcohol,Alcoholic gastritis,K29.2
Alcohol_induced_pseudoCushings_syndrome,Wholly attributable to alcohol,alcohol,Alcohol-induced pseudo-Cushing's syndrome,E24.4
Acute_intoxication,Wholly attributable to alcohol,alcohol,Acute intoxication,F10.0
Mental_and_behavioural_disorders_due_to_use_of_alcohol,Wholly attributable to alcohol,alcohol,Mental and behavioural disorders due to use of alcohol,F10.1-F10.9
Degeneration,Wholly attributable to alcohol,alcohol,Degeneration,G31.2
Alcoholic_polyneuropathy,Wholly attributable to alcohol,alcohol,Alcoholic polyneuropathy,G62.1
Alcoholic_myopathy,Wholly attributable to alcohol,alcohol,Alcoholic myopathy,G72.1
Maternal_care_for_suspected_damage_to_foetus_from_alcohol,Wholly attributable to alcohol,alcohol,Maternal care for suspected damage to foetus from alcohol,O35.4
Excessive_Blood_Level_of_Alcohol,Wholly attributable to alcohol,alcohol,Excessive blood level of alcohol,R78.0
Toxic_effect_of_alcohol,Wholly attributable to alcohol,alcohol,Toxic effect of alcohol,"T51.0, T51.1, T51.8, T51.9"
Alcohol_poisoning,Wholly attributable to alcohol,alcohol,Alcohol poisoning,"X45, X65, Y15"
Evidence_of_alcohol_involvement_determined_by_blood_alcohol_level,Wholly attributable to alcohol,alcohol,Evidence of alcohol involvement determined by blood alcohol level,Y90
