"years_since_cessation","condition","prop_risk_reduction"
9,"Oesophageal_SCC",0.561143738
9,"Stomach",0.561143738
9,"Pancreas",0.561143738
9,"Liver",0.561143738
9,"Colorectal",0.561143738
9,"Kidney",0.561143738
9,"Lower_urinary_tract",0.561143738
9,"Bladder",0.561143738
9,"Cervical",0.561143738
9,"Acute_myeloid_leukaemia",0.561143738
9,"Ischaemic_heart_disease",0.949303508
9,"Haemorrhagic_Stroke",0.949303508
9,"Ischaemic_Stroke",0.949303508
9,"Peripheral_arterial_disease",0.949303508
9,"Abdominal_aortic_aneurysm",0.949303508
9,"Venous_thromboembolism",0.949303508
9,"Chronic_obstructive_pulmonary_disease",0.69316009
9,"Asthma",1
9,"Tuberculosis",1
9,"Obstructive_sleep_apnoea",1
9,"Pneumonia",1
9,"Influenza_clinically_diagnosed",1
9,"Influenza_microbiologically_confirmed",1
9,"Diabetes",0.949303508
9,"Alzheimers_disease",1
9,"Vascular_dementia",1
9,"All_cause_dementia",1
9,"Depression",1
9,"Schizophrenia",1
9,"Multiple_sclerosis",1
9,"Systematic_lupus_erythematosis",1
9,"Low_back_pain",1
9,"Psoriasis",1
9,"Age_related_macular_degeneration",1
9,"Crohns_disease",1
9,"Hip_fracture",1
9,"Idiopathic_pulmonary_fibrosis",1
9,"Rheumatoid_arthritis",1
9,"Chronic_Kidney_disease",1
9,"End_stage_renal_disease",1
9,"Senile_cataract",1
9,"Bulimia",1
9,"Hearing_loss",1
9,"Ulcerative_colitis",1
9,"Psychosis",1
9,"Parkinson",1
10,"Oral_cavity",0.599187509
10,"Pharynx",0.599187509
10,"Lung",0.599187509
10,"Nasopharynx_sinonasal",0.599187509
10,"Larynx",0.599187509
10,"Oesophageal_AC",0.599187509
10,"Oesophageal_SCC",0.599187509
10,"Stomach",0.599187509
10,"Pancreas",0.599187509
10,"Liver",0.599187509
10,"Colorectal",0.599187509
10,"Kidney",0.599187509
10,"Lower_urinary_tract",0.599187509
10,"Bladder",0.599187509
10,"Cervical",0.599187509
10,"Acute_myeloid_leukaemia",0.599187509
10,"Ischaemic_heart_disease",0.974484922
10,"Haemorrhagic_Stroke",0.974484922
10,"Ischaemic_Stroke",0.974484922
10,"Peripheral_arterial_disease",0.974484922
10,"Abdominal_aortic_aneurysm",0.974484922
10,"Venous_thromboembolism",0.974484922
10,"Chronic_obstructive_pulmonary_disease",0.72872278
10,"Asthma",1
10,"Tuberculosis",1
10,"Obstructive_sleep_apnoea",1
10,"Pneumonia",1
10,"Influenza_clinically_diagnosed",1
10,"Influenza_microbiologically_confirmed",1
10,"Diabetes",0.974484922
10,"Alzheimers_disease",1
10,"Vascular_dementia",1
10,"All_cause_dementia",1
10,"Depression",1
10,"Schizophrenia",1
10,"Multiple_sclerosis",1
10,"Systematic_lupus_erythematosis",1
10,"Low_back_pain",1
10,"Psoriasis",1
10,"Age_related_macular_degeneration",1
10,"Crohns_disease",1
10,"Hip_fracture",1
10,"Idiopathic_pulmonary_fibrosis",1
10,"Rheumatoid_arthritis",1
10,"Chronic_Kidney_disease",1
10,"End_stage_renal_disease",1
10,"Senile_cataract",1
10,"Bulimia",1
10,"Hearing_loss",1
10,"Ulcerative_colitis",1
10,"Psychosis",1
10,"Parkinson",1
11,"Oral_cavity",0.633975234
11,"Pharynx",0.633975234
11,"Lung",0.633975234
11,"Nasopharynx_sinonasal",0.633975234
11,"Larynx",0.633975234
11,"Oesophageal_AC",0.633975234
11,"Oesophageal_SCC",0.633975234
11,"Stomach",0.633975234
11,"Pancreas",0.633975234
11,"Liver",0.633975234
11,"Colorectal",0.633975234
11,"Kidney",0.633975234
11,"Lower_urinary_tract",0.633975234
11,"Bladder",0.633975234
11,"Cervical",0.633975234
11,"Acute_myeloid_leukaemia",0.633975234
11,"Ischaemic_heart_disease",0.990897365
11,"Haemorrhagic_Stroke",0.990897365
11,"Ischaemic_Stroke",0.990897365
11,"Peripheral_arterial_disease",0.990897365
11,"Abdominal_aortic_aneurysm",0.990897365
11,"Venous_thromboembolism",0.990897365
11,"Chronic_obstructive_pulmonary_disease",0.759952871
11,"Asthma",1
11,"Tuberculosis",1
11,"Obstructive_sleep_apnoea",1
11,"Pneumonia",1
11,"Influenza_clinically_diagnosed",1
11,"Influenza_microbiologically_confirmed",1
11,"Diabetes",0.990897365
11,"Alzheimers_disease",1
11,"Vascular_dementia",1
11,"All_cause_dementia",1
11,"Depression",1
11,"Schizophrenia",1
11,"Multiple_sclerosis",1
11,"Systematic_lupus_erythematosis",1
11,"Low_back_pain",1
11,"Psoriasis",1
11,"Age_related_macular_degeneration",1
11,"Crohns_disease",1
11,"Hip_fracture",1
11,"Idiopathic_pulmonary_fibrosis",1
11,"Rheumatoid_arthritis",1
11,"Chronic_Kidney_disease",1
11,"End_stage_renal_disease",1
11,"Senile_cataract",1
11,"Bulimia",1
11,"Hearing_loss",1
11,"Ulcerative_colitis",1
11,"Psychosis",1
11,"Parkinson",1
12,"Oral_cavity",0.665813602
12,"Pharynx",0.665813602
12,"Lung",0.665813602
12,"Nasopharynx_sinonasal",0.665813602
12,"Larynx",0.665813602
12,"Oesophageal_AC",0.665813602
12,"Oesophageal_SCC",0.665813602
12,"Stomach",0.665813602
12,"Pancreas",0.665813602
12,"Liver",0.665813602
12,"Colorectal",0.665813602
12,"Kidney",0.665813602
12,"Lower_urinary_tract",0.665813602
12,"Bladder",0.665813602
12,"Cervical",0.665813602
12,"Acute_myeloid_leukaemia",0.665813602
12,"Ischaemic_heart_disease",0.998993152
12,"Haemorrhagic_Stroke",0.998993152
12,"Ischaemic_Stroke",0.998993152
12,"Peripheral_arterial_disease",0.998993152
12,"Abdominal_aortic_aneurysm",0.998993152
12,"Venous_thromboembolism",0.998993152
12,"Chronic_obstructive_pulmonary_disease",0.787438834
12,"Asthma",1
12,"Tuberculosis",1
12,"Obstructive_sleep_apnoea",1
12,"Pneumonia",1
12,"Influenza_clinically_diagnosed",1
12,"Influenza_microbiologically_confirmed",1
12,"Diabetes",0.998993152
12,"Alzheimers_disease",1
12,"Vascular_dementia",1
12,"All_cause_dementia",1
12,"Depression",1
12,"Schizophrenia",1
12,"Multiple_sclerosis",1
12,"Systematic_lupus_erythematosis",1
12,"Low_back_pain",1
12,"Psoriasis",1
12,"Age_related_macular_degeneration",1
12,"Crohns_disease",1
12,"Hip_fracture",1
12,"Idiopathic_pulmonary_fibrosis",1
12,"Rheumatoid_arthritis",1
12,"Chronic_Kidney_disease",1
12,"End_stage_renal_disease",1
12,"Senile_cataract",1
12,"Bulimia",1
12,"Hearing_loss",1
12,"Ulcerative_colitis",1
12,"Psychosis",1
12,"Parkinson",1
13,"Oral_cavity",0.694977927
13,"Pharynx",0.694977927
13,"Lung",0.694977927
13,"Nasopharynx_sinonasal",0.694977927
13,"Larynx",0.694977927
13,"Oesophageal_AC",0.694977927
13,"Oesophageal_SCC",0.694977927
13,"Stomach",0.694977927
13,"Pancreas",0.694977927
13,"Liver",0.694977927
13,"Colorectal",0.694977927
13,"Kidney",0.694977927
13,"Lower_urinary_tract",0.694977927
13,"Bladder",0.694977927
13,"Cervical",0.694977927
13,"Acute_myeloid_leukaemia",0.694977927
13,"Ischaemic_heart_disease",0.99999999999839
13,"Haemorrhagic_Stroke",0.99999999999839
13,"Ischaemic_Stroke",0.99999999999839
13,"Peripheral_arterial_disease",0.99999999999839
13,"Abdominal_aortic_aneurysm",0.99999999999839
13,"Venous_thromboembolism",0.99999999999839
13,"Chronic_obstructive_pulmonary_disease",0.81168117
13,"Asthma",1
13,"Tuberculosis",1
13,"Obstructive_sleep_apnoea",1
13,"Pneumonia",1
13,"Influenza_clinically_diagnosed",1
13,"Influenza_microbiologically_confirmed",1
13,"Diabetes",0.99999999999839
13,"Alzheimers_disease",1
13,"Vascular_dementia",1
13,"All_cause_dementia",1
13,"Depression",1
13,"Schizophrenia",1
13,"Multiple_sclerosis",1
13,"Systematic_lupus_erythematosis",1
13,"Low_back_pain",1
13,"Psoriasis",1
13,"Age_related_macular_degeneration",1
13,"Crohns_disease",1
13,"Hip_fracture",1
13,"Idiopathic_pulmonary_fibrosis",1
13,"Rheumatoid_arthritis",1
13,"Chronic_Kidney_disease",1
13,"End_stage_renal_disease",1
13,"Senile_cataract",1
13,"Bulimia",1
13,"Hearing_loss",1
13,"Ulcerative_colitis",1
13,"Psychosis",1
13,"Parkinson",1
14,"Oral_cavity",0.721715594
14,"Pharynx",0.721715594
14,"Lung",0.721715594
14,"Nasopharynx_sinonasal",0.721715594
14,"Larynx",0.721715594
14,"Oesophageal_AC",0.721715594
14,"Oesophageal_SCC",0.721715594
14,"Stomach",0.721715594
14,"Pancreas",0.721715594
14,"Liver",0.721715594
14,"Colorectal",0.721715594
14,"Kidney",0.721715594
14,"Lower_urinary_tract",0.721715594
14,"Bladder",0.721715594
14,"Cervical",0.721715594
14,"Acute_myeloid_leukaemia",0.721715594
14,"Ischaemic_heart_disease",0.999999999999543
14,"Haemorrhagic_Stroke",0.999999999999543
14,"Ischaemic_Stroke",0.999999999999543
14,"Peripheral_arterial_disease",0.999999999999543
14,"Abdominal_aortic_aneurysm",0.999999999999543
14,"Venous_thromboembolism",0.999999999999543
14,"Chronic_obstructive_pulmonary_disease",0.833106529
14,"Asthma",1
14,"Tuberculosis",1
14,"Obstructive_sleep_apnoea",1
14,"Pneumonia",1
14,"Influenza_clinically_diagnosed",1
14,"Influenza_microbiologically_confirmed",1
14,"Diabetes",0.999999999999543
14,"Alzheimers_disease",1
14,"Vascular_dementia",1
14,"All_cause_dementia",1
14,"Depression",1
14,"Schizophrenia",1
14,"Multiple_sclerosis",1
14,"Systematic_lupus_erythematosis",1
14,"Low_back_pain",1
14,"Psoriasis",1
14,"Age_related_macular_degeneration",1
14,"Crohns_disease",1
14,"Hip_fracture",1
14,"Idiopathic_pulmonary_fibrosis",1
14,"Rheumatoid_arthritis",1
14,"Chronic_Kidney_disease",1
14,"End_stage_renal_disease",1
14,"Senile_cataract",1
14,"Bulimia",1
14,"Hearing_loss",1
14,"Ulcerative_colitis",1
14,"Psychosis",1
14,"Parkinson",1
15,"Oral_cavity",0.746249105
15,"Pharynx",0.746249105
15,"Lung",0.746249105
15,"Nasopharynx_sinonasal",0.746249105
15,"Larynx",0.746249105
15,"Oesophageal_AC",0.746249105
15,"Oesophageal_SCC",0.746249105
15,"Stomach",0.746249105
15,"Pancreas",0.746249105
15,"Liver",0.746249105
15,"Colorectal",0.746249105
15,"Kidney",0.746249105
15,"Lower_urinary_tract",0.746249105
15,"Bladder",0.746249105
15,"Cervical",0.746249105
15,"Acute_myeloid_leukaemia",0.746249105
15,"Ischaemic_heart_disease",1.00000000000061
15,"Haemorrhagic_Stroke",1.00000000000061
15,"Ischaemic_Stroke",1.00000000000061
15,"Peripheral_arterial_disease",1.00000000000061
15,"Abdominal_aortic_aneurysm",1.00000000000061
15,"Venous_thromboembolism",1.00000000000061
15,"Chronic_obstructive_pulmonary_disease",0.852079417
15,"Asthma",1
15,"Tuberculosis",1
15,"Obstructive_sleep_apnoea",1
15,"Pneumonia",1
15,"Influenza_clinically_diagnosed",1
15,"Influenza_microbiologically_confirmed",1
15,"Diabetes",1.00000000000061
15,"Alzheimers_disease",1
15,"Vascular_dementia",1
15,"All_cause_dementia",1
15,"Depression",1
15,"Schizophrenia",1
15,"Multiple_sclerosis",1
15,"Systematic_lupus_erythematosis",1
15,"Low_back_pain",1
15,"Psoriasis",1
15,"Age_related_macular_degeneration",1
15,"Crohns_disease",1
15,"Hip_fracture",1
15,"Idiopathic_pulmonary_fibrosis",1
15,"Rheumatoid_arthritis",1
15,"Chronic_Kidney_disease",1
15,"End_stage_renal_disease",1
15,"Senile_cataract",1
15,"Bulimia",1
15,"Hearing_loss",1
15,"Ulcerative_colitis",1
15,"Psychosis",1
15,"Parkinson",1
16,"Oral_cavity",0.76877877
16,"Pharynx",0.76877877
16,"Lung",0.76877877
16,"Nasopharynx_sinonasal",0.76877877
16,"Larynx",0.76877877
16,"Oesophageal_AC",0.76877877
16,"Oesophageal_SCC",0.76877877
16,"Stomach",0.76877877
16,"Pancreas",0.76877877
16,"Liver",0.76877877
16,"Colorectal",0.76877877
16,"Kidney",0.76877877
16,"Lower_urinary_tract",0.76877877
16,"Bladder",0.76877877
16,"Cervical",0.76877877
16,"Acute_myeloid_leukaemia",0.76877877
16,"Ischaemic_heart_disease",1.00000000000159
